,Date,Tweet
30,2022-10-30 23:13:50+00:00,@OposisiCerdas Yadah lo tinggal ke dpr terus bawa kanebo lo lap dah kursinya terus duduk disitu ring daripada gila ga kesampain 😁😁
31,2022-10-30 23:12:09+00:00,"@OposisiCerdas Berharap boleh,tapi hitung²an jangankan duduki kursi DPR...kursi DPRD DKI juga bakal amblas ..  !"
32,2022-10-30 23:12:05+00:00,Andi Agustinus alias Andi Narogong. Hari ini lima mantan anggota DPR dipanggil untuk dimintai keterangannya.
33,2022-10-30 23:09:49+00:00,"@OposisiCerdas setuju psi 2024 masuk dpr, biar jd monitor bwt kepemimpinan pres Anis Baswedan 🤣"
34,2022-10-30 23:09:49+00:00,@OposisiCerdas Tapi nyanyi di dpr
35,2022-10-30 23:08:16+00:00,kita doakan semoga bisa duduki kursi kantin di dpr nanti...
36,2022-10-30 23:08:12+00:00,@Marswasnthere_ dpr lover https://t.co/QcHnxO1UJm
37,2022-10-30 23:07:26+00:00,nyalain TV dulu liatin berita persiapan pildun
38,2022-10-30 23:07:14+00:00,"DPR janji bela nasib petani tembakau di tengah kebijakan yang mencekik,.

Sudah tau kan kondisi petani mencekik ?
Smoga janjimu tidak palsu.

#62NegeriKrisis
#62NegeriKrisis
👇👇👇
https://t.co/klTyBDzH8a"
39,2022-10-30 23:07:01+00:00,"Capres perempuan yang ok skrg ya mba Puan sihh..
Punya partia, ketua DPR..
Tunggu apalagi.. gass"
40,2022-10-30 23:05:38+00:00,"@VIVAcoid Sekarang aja lakukan, kan antum wakil Rakyat di DPR Cak...‼️"
41,2022-10-30 22:58:26+00:00,@ssengkwan @LUNERPW doi itu pacar kah maksudnya
42,2022-10-30 22:57:54+00:00,"LUAR BIASA KEHANCURAN BANGSA OLEH REZIM JOKOWI.

10 tahun TKA Cina boleh tinggal di indonesia , segala hal bisa mrk lakukan, bhkan dgn memperkuat diri mrk hingga mrk bisa melawan pemerintah indonesia bisa mrk lakukan.
Knp DPR RI diam saja dgn byk nya aturan nyeleneh yg keluar ?? https://t.co/dZDQZREsAM"
43,2022-10-30 22:57:29+00:00,luar biasa
44,2022-10-30 22:57:02+00:00,"dpr ian tuh kayanya semua genre musik di explore deh sama dia, KERENN!!"
45,2022-10-30 22:56:29+00:00,"@KenTony22830517 @EarlythaSunTika @Ricky_Ubique @NegeriKolam Kalo HTI mau ganti Pancasila tentunya HTI harus masuk dan sdikit DMI sdikit dirubah melalui lembaga DPR atau MPR.

Faktanya HTI TDK masuk demokrasi."
46,2022-10-30 22:53:33+00:00,"@Rolling_tunder @mrshananto @childfreeindo tp ya gtu, harus lucu, kalo ga lucu ya sama aja ga bakal naek kek popon. suka gasuka, popon emang lucu. dan yg ngatain lgbt tapi ga lucu jg banyak. kalo ga lucu ya ga lucu terlepas dr apa yg dibela. klo ngajak jd dpr baru boleh ga lucu."
47,2022-10-30 22:52:36+00:00,@DharulFit @Nurfatm56604604 @Save_Moslem @rimah432603231 @faruq06254776 @Sudarya16171841 @Mdy_Asmara1701 @Gilar1990 @aniesbaswedan @suryapaloh51 @NasDem @joulepakir @adianasrul @VIPNetizen @tatakujiyati @BosPurwa @abu_waras @SugiKawuloAlit @EdyKiantolol @satriadjenar @ilhamjati4 @ekowboy2 @AndiSinulingga @MCAOps @aherrys @maspiyuaja @andripurnamajat @WZastra @dprddkijakarta @DPR_RI @mprgoid @DPDRI Halah jembutttt 😛
48,2022-10-30 22:49:08+00:00,"@doobidubabb Wah, ini thread oke banget sih. Tapi kalau wilayah Jakarta (GBK) antisipasi macet ya, soalnya GBK posisinya di tengah kota banget, dekat MPR/DPR juga, jadinya meski kendaraan gampang, macetnya harus diperhitungkan. ICE BSD jalanan lebih longgar, tapi klo di ICE ada acara"
49,2022-10-30 22:45:27+00:00,"@rizkicengir sibuk saat ngurus jadwal saja krn kebetulan objek adalah counterparts Atase Polri… 
selebihnya aman krn sdh diatur travel agent dr Jakarta, saya tinggal assist and advise aja… 
ternyata Bapak/Ibu anggota DPR pada suka bercanda namun saat rapat pada sangar bahkan dgn bulek 🤣"
50,2022-10-30 22:44:48+00:00,@FerdinandHutah5 Menyesal saya pilih firdinand jadi anggota DPR
51,2022-10-30 22:40:21+00:00,"#Diskusi #Publik #Virtual
Sosialisasi #AnalogSwitchOff (ASO) dan Seremoni Penyerahan #SetTopBox Kementerian #Kominfo Bersama Komisi I #DPR RI
Ada E-Certificate dan Doorprize untuk #SobatDigital 🥳
Daftar dan Simak di link zoom berikut:

SIANG INI‼️ https://t.co/CMLm1M5NG3"
52,2022-10-30 22:25:00+00:00,dpr Ian my beloved https://t.co/v0xlTF4TAZ
53,2022-10-30 22:21:21+00:00,"Di Senayan, gedung Nusantara 1, ruang komisi VII DPR RI.

Sudah cocok belum? https://t.co/Vtj0EluJw4"
54,2022-10-30 22:20:31+00:00,Lowongan menjadi @DPR_RI ?
55,2022-10-30 22:18:28+00:00,@dahlahren HIDUP DPR WE GANG GANG! DPR WE GANG GANG!
56,2022-10-30 22:02:49+00:00,"https://t.co/CJqa5jxNra ==&gt; Pemerah Bibir Alami Original Beauty Clinic #pemerahbibir #perokok #bibirpink #bibirhitam #lipstick #serumbibir #bestseller #gratisongkir #bayardirumah
#ruukuhp #dpr"
57,2022-10-30 22:01:38+00:00,"KALTIM BANGKIT bersama H. Abdul Betha Salam, SE,Msi,MH, caleg DPR RI Dapil KALTIM-KALTARA no. Urut 2 #PKB BeritaPKB"
58,2022-10-30 21:58:32+00:00,"@_novemberwin @tanyarlfes Maaf kak mau nanya dpr rian tuh siapa?
Dia beneran anggota dpr kah?"
59,2022-10-30 21:54:38+00:00,"@mhmmd_jati @txtdrberseragam @Puspen_TNI Pejabat kaya andika perkasa ga main twitter, puspen ya ga bakal diliat @DPR_RI juga sama"
60,2022-10-30 21:54:08+00:00,GXA602/N277GX (A321) filed to depart LAS @ Sun (30 Oct) 15:25 PDT for BIS @ ETA 17:55 PDT (30 Oct)  (RATPK3 FRNCK MLF J107 DDY J107 DPR BIS) https://t.co/zjtcDIYBqj #flightaware
61,2022-10-30 21:51:37+00:00,"Wakil Ketua DPR RI itu berseloroh, kalau semua sudah dikenal, maka diharapkan bisa menjadi menteri ketika Prabowo terpilih menjadi Presiden nanti. https://t.co/qIk7a2Tzcw @prabowo #MendingPrabowo #dekade08 #Pilpres2024"
62,2022-10-30 21:45:25+00:00,dpr ian kaya lagi punya masalah *seperti saya*
63,2022-10-30 21:44:04+00:00,@trigonowmetry di looji cafe kav dpr
64,2022-10-30 21:26:52+00:00,@alisyarief ANEHNYA DPR PADA GAK BERDAYA. KAYAK ORANG KENA GENDAM 😆
65,2022-10-30 21:22:17+00:00,"Ketua DPR RI Puan Maharani dinilai memiliki modal kuat untuk menjadi seorang pemimpin, terutama menjadi pemimpin RI. https://t.co/ZAILLImlod"
66,2022-10-30 21:21:53+00:00,"Pakar Komunikasi Politik dan Kebijakan, Riant Nugroho memprediksi, Ketua DPR Puan Maharani mudah mendapatkan tiket menjadi presiden di 2024. https://t.co/gJxIGnT68A"
67,2022-10-30 21:21:43+00:00,Anggota DPR RI Agustina Wilujeng mendoakan Puan Maharani menang Pilpres 2024 dan mendorong persaingan yang sehat dan elegan. https://t.co/gnEyjyobRk
68,2022-10-30 21:21:38+00:00,"Posisi Puan Maharani sebagai Ketua DPR RI perempuan pertama, dinilai memberikan nilai tawar yang cukup tinggi, oleh sebab itu banyak yang merasa tidak nyaman dengan kehadiran Puan dalam bursa capres 2024. https://t.co/Uy06mVbM9y"
69,2022-10-30 21:21:23+00:00,Anggota DPR RI Masinton Pasaribu menilai Puan Maharani memenuhi kriteria seorang pemimpin karena ditempa sejarah sejak remaja. https://t.co/sXwGJazzp0
70,2022-10-30 21:20:59+00:00,"Meskipun belum pernah menghadapi pilkada, namun suara tertinggi di DPR yang diperoleh Puan Maharani tentunya merupakan sebuah prestasi yang luar biasa. https://t.co/fcWo9Szpqt"
