,Date,Tweet
35,2022-11-29 23:24:03+00:00,@VyMauricio DPR concert mmya HAHHAHA
36,2022-11-29 23:21:02+00:00,KSAL Laksamana Yudo Margono telah diajukan Presiden Jokowi ke DPR RI untuk menggantikan Jenderal Andika Perkasa menjadi Panglima TNI. Apa alasannya? https://t.co/YA2L3yf913
37,2022-11-29 23:21:01+00:00,"Presiden @jokowi telah mengajukan Laksamana TNI Yudo Margono sebagai calon tunggal Panglima Tentara Nasional Indonesia untuk menggantikan Jenderal TNI Andika Perkasa. Surpres terkait hal tersebut sudah disampaikan kepada DPR untuk mendapatkan persetujuan.
https://t.co/HKwoEmBf9N"
38,2022-11-29 23:20:01+00:00,KSAL Laksamana Yudo Margono telah diajukan Presiden Jokowi ke DPR RI untuk menggantikan Jenderal Andika Perkasa menjadi Panglima TNI. Apa alasannya? https://t.co/YA2L3ywc33
39,2022-11-29 23:19:15+00:00,DPR Imbau Pemda Gratiskan BPHTB Awal https://t.co/olRfVkgrJo
40,2022-11-29 23:18:49+00:00,KSAL Laksamana Yudo Margono telah diajukan Presiden Jokowi ke DPR RI untuk menggantikan Jenderal Andika Perkasa menjadi Panglima TNI. Apa alasannya? https://t.co/02jD6kkx0K
41,2022-11-29 23:18:13+00:00,"IDI tolak Omnibus law kesehatan?

#Cakepbanget #AzamSwati #bella #omnibuslauw #DPR 

https://t.co/EUgeJJFcrw"
42,2022-11-29 23:18:06+00:00,@Dika76595557 @CIVICUSalliance @vincentrcrd @DPR_RI @POTUS @SecBlinken @SenatorWong @vonderleyen @jokowi @Menlu_RI emangnya pepo cikeas kesayangan situ demokratis ya??? mau AHY berkuasa terus cikeas korupsi lagi
43,2022-11-29 23:18:01+00:00,"@jokowi @DPR_RI
@kementan @Kemendag @PerekonomianRI
@akang_hero @her_alone
https://t.co/TNqY1yk8an
Bukan Legenda Roro Jonggrang Pak Mentan dipersiapkan secara Real.
Survey ke Penggilangan padi di daerah hanya tanya kapasitas bila harga 10.300/ kg mau setor ke Bulog berapa ton."
44,2022-11-29 23:17:47+00:00,"@Om_HME @Ryugie_Nufus_82 @papa_loren Harus nya baca berita, atau nonton berita di tv, ada ratusan anggota dpr yg gajinya em2 an jangan ngarang sendiri ....... yg tolol jangan pamer goblok ....  malu atuh 🙃"
